survey_id,account,survey_sent_date,response_date,quarter,nps_score,nps_category,comment,survey_channel
NPS-00001,Acme Corporation,2017-05-15,2017-05-18,2017-Q2,9,promoter,Helped us scale our operations,email
NPS-00002,Acme Corporation,2017-08-15,2017-08-21,2017-Q3,10,promoter,The product exceeded our expectations,in_app
NPS-00003,Acme Corporation,2017-11-15,2017-11-28,2017-Q4,10,promoter,,in_app
NPS-00004,Betasoloin,2017-02-15,2017-02-20,2017-Q1,9,promoter,Support team is very responsive,in_app
NPS-00005,Betasoloin,2017-05-15,2017-05-17,2017-Q2,9,promoter,,sms
NPS-00006,Betasoloin,2017-08-15,2017-08-15,2017-Q3,8,passive,,in_app
NPS-00007,Betasoloin,2017-11-15,2017-11-24,2017-Q4,10,promoter,Smooth onboarding experience,in_app
NPS-00008,Betatech,2017-02-15,2017-02-22,2017-Q1,9,promoter,,email
NPS-00009,Betatech,2017-05-15,2017-05-20,2017-Q2,10,promoter,,in_app
NPS-00010,Betatech,2017-08-15,2017-08-16,2017-Q3,8,passive,,in_app
NPS-00011,Bioholding,2017-02-15,2017-02-26,2017-Q1,10,promoter,Very satisfied with the service,in_app
NPS-00012,Bioholding,2017-05-15,2017-05-29,2017-Q2,9,promoter,Good value for the price,email
NPS-00013,Bioholding,2017-08-15,2017-08-25,2017-Q3,9,promoter,,email
NPS-00014,Bioholding,2017-11-15,2017-11-21,2017-Q4,9,promoter,Smooth onboarding experience,email
NPS-00015,Bioplex,2017-05-15,2017-05-27,2017-Q2,9,promoter,Good value for the price,email
NPS-00016,Bioplex,2017-08-15,2017-08-15,2017-Q3,8,passive,,email
NPS-00017,Bioplex,2017-11-15,2017-11-20,2017-Q4,9,promoter,"Great product, easy to use",sms
NPS-00018,Blackzim,2017-02-15,2017-02-20,2017-Q1,9,promoter,Helped us scale our operations,email
NPS-00019,Blackzim,2017-08-15,2017-08-16,2017-Q3,8,passive,,sms
NPS-00020,Blackzim,2017-11-15,2017-11-28,2017-Q4,9,promoter,Would definitely recommend to others,in_app
NPS-00021,Bluth Company,2017-05-15,2017-05-28,2017-Q2,6,detractor,,email
NPS-00022,Bluth Company,2017-11-15,2017-11-24,2017-Q4,6,detractor,It works fine for our needs,email
NPS-00023,Bubba Gump,2017-02-15,2017-02-26,2017-Q1,8,passive,Smooth onboarding experience,in_app
NPS-00024,Bubba Gump,2017-05-15,2017-05-26,2017-Q2,9,promoter,,email
NPS-00025,Bubba Gump,2017-11-15,2017-11-25,2017-Q4,10,promoter,The product exceeded our expectations,in_app
NPS-00026,Cancity,2017-05-15,2017-05-19,2017-Q2,8,passive,,in_app
NPS-00027,Cancity,2017-08-15,2017-08-15,2017-Q3,9,promoter,Good value for the price,email
NPS-00028,Cancity,2017-11-15,2017-11-18,2017-Q4,10,promoter,The product exceeded our expectations,email
NPS-00029,Cheers,2017-02-15,2017-02-21,2017-Q1,8,passive,Good value for the price,email
NPS-00030,Cheers,2017-05-15,2017-05-15,2017-Q2,9,promoter,,in_app
NPS-00031,Cheers,2017-11-15,2017-11-29,2017-Q4,9,promoter,,email
NPS-00032,Codehow,2017-02-15,2017-02-15,2017-Q1,9,promoter,Good value for the price,email
NPS-00033,Codehow,2017-05-15,2017-05-16,2017-Q2,9,promoter,Helped us scale our operations,in_app
NPS-00034,Codehow,2017-08-15,2017-08-20,2017-Q3,8,passive,,in_app
NPS-00035,Condax,2017-02-15,2017-02-24,2017-Q1,9,promoter,Very satisfied with the service,email
NPS-00036,Condax,2017-08-15,2017-08-21,2017-Q3,9,promoter,Very satisfied with the service,email
NPS-00037,Condax,2017-11-15,2017-11-17,2017-Q4,10,promoter,The product exceeded our expectations,email
NPS-00038,Conecom,2017-05-15,2017-05-21,2017-Q2,9,promoter,Would definitely recommend to others,sms
NPS-00039,Conecom,2017-08-15,2017-08-20,2017-Q3,10,promoter,The product exceeded our expectations,in_app
NPS-00040,Dalttechnology,2017-02-15,2017-02-28,2017-Q1,10,promoter,,email
NPS-00041,Dalttechnology,2017-05-15,2017-05-24,2017-Q2,10,promoter,Would definitely recommend to others,email
NPS-00042,Dalttechnology,2017-08-15,2017-08-25,2017-Q3,9,promoter,The product exceeded our expectations,in_app
NPS-00043,Dalttechnology,2017-11-15,2017-11-26,2017-Q4,10,promoter,Smooth onboarding experience,in_app
NPS-00044,dambase,2017-02-15,2017-02-23,2017-Q1,8,passive,Helped us scale our operations,in_app
NPS-00045,dambase,2017-08-15,2017-08-18,2017-Q3,10,promoter,"Great product, easy to use",email
NPS-00046,dambase,2017-11-15,2017-11-17,2017-Q4,9,promoter,,email
NPS-00047,Domzoom,2017-02-15,2017-02-23,2017-Q1,9,promoter,Smooth onboarding experience,sms
NPS-00048,Domzoom,2017-05-15,2017-05-22,2017-Q2,9,promoter,,sms
NPS-00049,Domzoom,2017-11-15,2017-11-18,2017-Q4,8,passive,Helped us scale our operations,email
NPS-00050,Doncon,2017-02-15,2017-03-01,2017-Q1,8,passive,Good value for the price,email
NPS-00051,Doncon,2017-11-15,2017-11-20,2017-Q4,9,promoter,,email
NPS-00052,Donquadtech,2017-02-15,2017-02-28,2017-Q1,9,promoter,Helped us scale our operations,email
NPS-00053,Donquadtech,2017-08-15,2017-08-25,2017-Q3,8,passive,,email
